codigo,institucion,nombre,motivo,enlace
CAT-3748,MARN,Diagnóstico Ambiental de Bajo Impacto Categoría C con Plan de Gestión Ambiental,sin pagina oficial (solo enlace bit.ly/generico),https://www.marn.gob.gt/viceministro-de-ambiente/digarn/ventanilla-ambiental-2/
CAT-3729,MARN,Eliminación de Compromisos Ambientales,sin pagina oficial (solo enlace bit.ly/generico),https://www.marn.gob.gt/viceministro-de-ambiente/digarn/ventanilla-ambiental-2/
CAT-3759,MARN,Evaluación Ambiental Estratégica,sin pagina oficial (solo enlace bit.ly/generico),https://www.marn.gob.gt/
CAT-3751,MARN,Evaluación Ambiental Inicial Categoría C,sin pagina oficial (solo enlace bit.ly/generico),https://www.marn.gob.gt/viceministro-de-ambiente/digarn/ventanilla-ambiental-2/
CAT-3747,MARN,Evaluación Ambiental Inicial Categoría C con Plan de Gestión Ambiental,sin pagina oficial (solo enlace bit.ly/generico),https://www.marn.gob.gt/viceministro-de-ambiente/digarn/ventanilla-ambiental-2/
CAT-3746,MARN,Exención de Parámetros a Medir en Aguas Residuales Generadas,sin pagina oficial (solo enlace bit.ly/generico),https://www.marn.gob.gt/
CAT-3694,MARN,Licencia Ambiental de Actividades Correctivas para Registro,sin pagina oficial (solo enlace bit.ly/generico),https://www.marn.gob.gt/viceministro-de-ambiente/digarn/licencias-ambientales-formularios/2-2-lic-amb-de-imp-o-exp-de-produc-sust-y-mat-prima/
CAT-3691,MARN,Licencia Ambiental de Actividades para Registro,sin pagina oficial (solo enlace bit.ly/generico),https://www.marn.gob.gt/viceministro-de-ambiente/digarn/licencias-ambientales-formularios/solicitud-de-licencia-ambiental/
CAT-3732,MARN,Licencia de Exportación No Asidua (Eventual) de Equipos de Refrigeración y Aire Acondicionado,sin pagina oficial (solo enlace bit.ly/generico),https://www.marn.gob.gt/viceministro-de-ambiente/digarn/licencias-ambientales-formularios/2-2-lic-amb-de-imp-o-exp-de-produc-sust-y-mat-prima/
CAT-3730,MARN,Licencia de Exportación de Sustancias y Productos Controlados por el MARN,sin pagina oficial (solo enlace bit.ly/generico),https://www.marn.gob.gt/viceministro-de-ambiente/digarn/licencias-ambientales-formularios/2-3-lic-amb-equi-refrig-y-aire-acondicionado/
CAT-3735,MARN,Licencia de Importación No Asidua (Eventual) de Equipos de Refrigeración y Aire Acondicionado,sin pagina oficial (solo enlace bit.ly/generico),https://www.marn.gob.gt/viceministro-de-ambiente/digarn/licencias-ambientales-formularios/2-2-lic-amb-de-imp-o-exp-de-produc-sust-y-mat-prima/
CAT-3685,MARN,Licencia de Importación de Equipos de Refrigeración y Aire Acondicionado,sin pagina oficial (solo enlace bit.ly/generico),https://www.marn.gob.gt/viceministro-de-ambiente/digarn/licencias-ambientales-formularios/2-2-lic-amb-de-imp-o-exp-de-produc-sust-y-mat-prima/
CAT-3690,MARN,Licencia de Importación de Refrigerantes,sin pagina oficial (solo enlace bit.ly/generico),https://www.marn.gob.gt/viceministro-de-ambiente/digarn/licencias-ambientales-formularios/2-2-lic-amb-de-imp-o-exp-de-produc-sust-y-mat-prima/
CAT-3734,MARN,Licencia de Importación de Sustancias y Productos Controlados por el MARN,sin pagina oficial (solo enlace bit.ly/generico),https://www.marn.gob.gt/viceministro-de-ambiente/digarn/licencias-ambientales-formularios/2-3-lic-amb-equi-refrig-y-aire-acondicionado/
CAT-3709,MARN,Licencia de Registro Nacional de Empresa Frigorista,sin pagina oficial (solo enlace bit.ly/generico),https://www.marn.gob.gt/viceministro-de-ambiente/digarn/licencias-ambientales-formularios/2-2-lic-amb-de-imp-o-exp-de-produc-sust-y-mat-prima/
CAT-3715,MARN,Licencia de Registro Nacional de Entidad Capacitadora,sin pagina oficial (solo enlace bit.ly/generico),https://www.marn.gob.gt/viceministro-de-ambiente/digarn/licencias-ambientales-formularios/2-2-lic-amb-de-imp-o-exp-de-produc-sust-y-mat-prima/
CAT-3719,MARN,Licencia de Registro Nacional de Técnico Frigorista Empírico,sin pagina oficial (solo enlace bit.ly/generico),https://www.marn.gob.gt/viceministro-de-ambiente/digarn/licencias-ambientales-formularios/2-2-lic-amb-de-imp-o-exp-de-produc-sust-y-mat-prima/
CAT-3724,MARN,Licencia de Registro Nacional de Técnico Frigorista Especializado,sin pagina oficial (solo enlace bit.ly/generico),https://www.marn.gob.gt/viceministro-de-ambiente/digarn/licencias-ambientales-formularios/2-2-lic-amb-de-imp-o-exp-de-produc-sust-y-mat-prima/
CAT-3700,MARN,"Licencia de Registro de Exportador de Sustancias Alternativas, Sustancias Peligrosas, Insumos para Reutilizar, Refrigerantes, Equipos de Refrigeración y Aire Acondicionado",sin pagina oficial (solo enlace bit.ly/generico),https://www.marn.gob.gt/viceministro-de-ambiente/digarn/licencias-ambientales-formularios/2-3-lic-amb-equi-refrig-y-aire-acondicionado/
CAT-3705,MARN,"Licencia de Registro de Importador de Sustancias Alternativas, Sustancias Peligrosas, Insumos para Reutilizar, Refrigerantes, Equipos de Refrigeración y Aire Acondicionado",sin pagina oficial (solo enlace bit.ly/generico),https://www.marn.gob.gt/viceministro-de-ambiente/digarn/licencias-ambientales-formularios/2-3-lic-amb-equi-refrig-y-aire-acondicionado/
CAT-3731,MARN,Prórroga para Cumplimiento de Compromisos Ambientales,sin pagina oficial (solo enlace bit.ly/generico),https://www.marn.gob.gt/viceministro-de-ambiente/digarn/ventanilla-ambiental-2/
CAT-3707,MARN,Recategorización,sin pagina oficial (solo enlace bit.ly/generico),https://www.marn.gob.gt/viceministro-de-ambiente/digarn/ventanilla-ambiental-2/
CAT-3740,MARN,Recurso de Reposición,sin pagina oficial (solo enlace bit.ly/generico),https://www.tramites.gob.gt/
CAT-3739,MARN,Recurso de Revocatoria,sin pagina oficial (solo enlace bit.ly/generico),https://www.tramites.gob.gt/
CAT-3699,MARN,Renovación de Licencia Ambiental de Actividades Correctivas para Registro,sin pagina oficial (solo enlace bit.ly/generico),https://www.marn.gob.gt/viceministro-de-ambiente/digarn/licencias-ambientales-formularios/2-2-lic-amb-de-imp-o-exp-de-produc-sust-y-mat-prima/
CAT-3697,MARN,Renovación de Licencia Ambiental de Actividades para Registro,sin pagina oficial (solo enlace bit.ly/generico),https://www.marn.gob.gt/viceministro-de-ambiente/digarn/licencias-ambientales-formularios/2-2-lic-amb-de-imp-o-exp-de-produc-sust-y-mat-prima/
CAT-3676,MARN,Renovación de Licencia de Consultor Categoría B,sin pagina oficial (solo enlace bit.ly/generico),https://www.marn.gob.gt/viceministro-de-ambiente/digarn/formularios-consultores/
CAT-3711,MARN,Renovación de Licencia de Registro Nacional de Empresa Frigorista,sin pagina oficial (solo enlace bit.ly/generico),https://www.marn.gob.gt/viceministro-de-ambiente/digarn/licencias-ambientales-formularios/2-2-lic-amb-de-imp-o-exp-de-produc-sust-y-mat-prima/
CAT-3716,MARN,Renovación de Licencia de Registro Nacional de Entidad Capacitadora,sin pagina oficial (solo enlace bit.ly/generico),https://www.marn.gob.gt/viceministro-de-ambiente/digarn/licencias-ambientales-formularios/2-2-lic-amb-de-imp-o-exp-de-produc-sust-y-mat-prima/
CAT-3721,MARN,Renovación de Licencia de Registro Nacional de Técnico Frigorista Empírico,sin pagina oficial (solo enlace bit.ly/generico),https://www.marn.gob.gt/viceministro-de-ambiente/digarn/licencias-ambientales-formularios/2-2-lic-amb-de-imp-o-exp-de-produc-sust-y-mat-prima/
CAT-3725,MARN,Renovación de Licencia de Registro Nacional de Técnico Frigorista Especializado,sin pagina oficial (solo enlace bit.ly/generico),https://www.marn.gob.gt/viceministro-de-ambiente/digarn/licencias-ambientales-formularios/2-2-lic-amb-de-imp-o-exp-de-produc-sust-y-mat-prima/
CAT-3702,MARN,"Renovación de Licencia de Registro de Exportador de Sustancias Alternativas, Sustancias Peligrosas, Insumos para Reutilizar, Refrigerantes, Equipos de Refrigeración y Aire Acondicionado",sin pagina oficial (solo enlace bit.ly/generico),https://www.marn.gob.gt/viceministro-de-ambiente/digarn/licencias-ambientales-formularios/2-3-lic-amb-equi-refrig-y-aire-acondicionado/
CAT-3706,MARN,"Renovación de Licencia de Registro de Importador de Sustancias Alternativas, Sustancias Peligrosas, Insumos para Reutilizar, Refrigerantes, Equipos de Refrigeración y Aire Acondicionado",sin pagina oficial (solo enlace bit.ly/generico),https://www.marn.gob.gt/viceministro-de-ambiente/digarn/licencias-ambientales-formularios/2-3-lic-amb-equi-refrig-y-aire-acondicionado/
CAT-3737,MARN,Reposición de Licencia Ambiental de Actividades Correctivas para Registro,sin pagina oficial (solo enlace bit.ly/generico),https://www.marn.gob.gt/viceministro-de-ambiente/digarn/licencias-ambientales-formularios/solicitud-de-licencia-ambiental/
CAT-3736,MARN,Reposición de Licencia Ambiental de Actividades para Registro,sin pagina oficial (solo enlace bit.ly/generico),https://www.marn.gob.gt/viceministro-de-ambiente/digarn/licencias-ambientales-formularios/solicitud-de-licencia-ambiental/
CAT-3679,MARN,Reposición de Licencia de Consultor Categoría B,sin pagina oficial (solo enlace bit.ly/generico),https://www.marn.gob.gt/viceministro-de-ambiente/digarn/formularios-consultores/
CAT-3678,MARN,Reposición de Licencia de Consultor Categoría C,sin pagina oficial (solo enlace bit.ly/generico),https://www.marn.gob.gt/viceministro-de-ambiente/digarn/licencias-ambientales-formularios/2-2-lic-amb-de-imp-o-exp-de-produc-sust-y-mat-prima/
CAT-3681,MARN,Reposición de Licencia de Exportación No Asidua (Eventual) de Equipos de Refrigeración y Aire Acondicionado,sin pagina oficial (solo enlace bit.ly/generico),https://www.marn.gob.gt/viceministro-de-ambiente/digarn/licencias-ambientales-formularios/2-2-lic-amb-de-imp-o-exp-de-produc-sust-y-mat-prima/
CAT-3677,MARN,Reposición de Licencia de Exportación de Refrigerantes,sin pagina oficial (solo enlace bit.ly/generico),https://www.marn.gob.gt/viceministro-de-ambiente/digarn/licencias-ambientales-formularios/2-2-lic-amb-de-imp-o-exp-de-produc-sust-y-mat-prima/
CAT-3680,MARN,Reposición de Licencia de Exportación de Sustancias y Productos Controlados por el MARN,sin pagina oficial (solo enlace bit.ly/generico),https://www.marn.gob.gt/viceministro-de-ambiente/digarn/licencias-ambientales-formularios/2-3-lic-amb-equi-refrig-y-aire-acondicionado/
CAT-3698,MARN,Reposición de Licencia de Importación No Asidua (Eventual) de Equipos de Refrigeración y Aire Acondicionado,sin pagina oficial (solo enlace bit.ly/generico),https://www.marn.gob.gt/viceministro-de-ambiente/digarn/licencias-ambientales-formularios/2-2-lic-amb-de-imp-o-exp-de-produc-sust-y-mat-prima/
CAT-3687,MARN,Reposición de Licencia de Importación de Equipos de Refrigeración y Aire Acondicionado,sin pagina oficial (solo enlace bit.ly/generico),https://www.marn.gob.gt/viceministro-de-ambiente/digarn/licencias-ambientales-formularios/2-2-lic-amb-de-imp-o-exp-de-produc-sust-y-mat-prima/
CAT-3692,MARN,Reposición de Licencia de Importación de Refrigerantes,sin pagina oficial (solo enlace bit.ly/generico),https://www.marn.gob.gt/viceministro-de-ambiente/digarn/licencias-ambientales-formularios/2-2-lic-amb-de-imp-o-exp-de-produc-sust-y-mat-prima/
CAT-3696,MARN,Reposición de Licencia de Importación de Sustancias y Productos Controlados por el MARN,sin pagina oficial (solo enlace bit.ly/generico),https://www.marn.gob.gt/viceministro-de-ambiente/digarn/licencias-ambientales-formularios/2-3-lic-amb-equi-refrig-y-aire-acondicionado/
CAT-3713,MARN,Reposición de Licencia de Registro Nacional de Empresa Frigorista,sin pagina oficial (solo enlace bit.ly/generico),https://www.marn.gob.gt/viceministro-de-ambiente/digarn/licencias-ambientales-formularios/2-2-lic-amb-de-imp-o-exp-de-produc-sust-y-mat-prima/
CAT-3717,MARN,Reposición de Licencia de Registro Nacional de Entidad Capacitadora,sin pagina oficial (solo enlace bit.ly/generico),https://www.marn.gob.gt/viceministro-de-ambiente/digarn/licencias-ambientales-formularios/2-2-lic-amb-de-imp-o-exp-de-produc-sust-y-mat-prima/
CAT-3723,MARN,Reposición de Licencia de Registro Nacional de Técnico Frigorista Empírico,sin pagina oficial (solo enlace bit.ly/generico),https://www.marn.gob.gt/viceministro-de-ambiente/digarn/licencias-ambientales-formularios/2-2-lic-amb-de-imp-o-exp-de-produc-sust-y-mat-prima/
CAT-3726,MARN,Reposición de Licencia de Registro Nacional de Técnico Frigorista Especializado,sin pagina oficial (solo enlace bit.ly/generico),https://www.marn.gob.gt/viceministro-de-ambiente/digarn/licencias-ambientales-formularios/2-2-lic-amb-de-imp-o-exp-de-produc-sust-y-mat-prima/
CAT-3704,MARN,"Reposición de Licencia de Registro de Exportador de Sustancias Alternativas, Sustancias Peligrosas, Insumos para Reutilizar, Refrigerantes, Equipos de Refrigeración y Aire Acondicionado",sin pagina oficial (solo enlace bit.ly/generico),https://www.marn.gob.gt/viceministro-de-ambiente/digarn/licencias-ambientales-formularios/2-3-lic-amb-equi-refrig-y-aire-acondicionado/
CAT-3708,MARN,"Reposición de Licencia de Registro de Importador de Sustancias Alternativas, Sustancias Peligrosas, Insumos para Reutilizar, Refrigerantes, Equipos de Refrigeración y Aire Acondicionado",sin pagina oficial (solo enlace bit.ly/generico),https://www.marn.gob.gt/viceministro-de-ambiente/digarn/licencias-ambientales-formularios/2-3-lic-amb-equi-refrig-y-aire-acondicionado/
CAT-3742,MARN,Solicitud de Acceso a la Información Pública,sin pagina oficial (solo enlace bit.ly/generico),https://www.tramites.gob.gt/
CAT-3743,MARN,Solicitud de Certificación de Contrato para Contratistas y Excontratistas,sin pagina oficial (solo enlace bit.ly/generico),https://www.marn.gob.gt/
CAT-3744,MARN,Solicitud de Constancias Laborales para Trabajadores y Extrabajadores,sin pagina oficial (solo enlace bit.ly/generico),https://www.marn.gob.gt/
CAT-3738,MARN,Trámite de Denuncias Ambientales y Diligenciamiento del Procedimiento Administrativo,sin pagina oficial (solo enlace bit.ly/generico),https://www.tramites.gob.gt/
CAT-3712,MARN,Unificación de Instrumentos Ambientales,sin pagina oficial (solo enlace bit.ly/generico),https://www.marn.gob.gt/viceministro-de-ambiente/digarn/ventanilla-ambiental-2/
CAT-3686,MICIVI,Cambio de color y/o placa,sin pagina oficial (solo enlace bit.ly/generico),https://dgt.gob.gt/formularios/
CAT-3684,MICIVI,Cambio número de motor y/o chasis,sin pagina oficial (solo enlace bit.ly/generico),https://dgt.gob.gt/formularios/
CAT-3602,MICIVI,Inscripción de Aeronaves por contrato de arrendamiento,tiene requisitos pero no pasos,https://www.dgac.gob.gt/wp-content/uploads/2023/08/FORMULARIO-naves-13-03-2023-Ley-de-simplificacion-FINAL-18-08-23.pdf
CAT-3701,MICIVI,Modificación / aumento de horarios y/o vehículos en licencia de transporte extraurbano de pasajeros por carretera,sin pagina oficial (solo enlace bit.ly/generico),https://dgt.gob.gt/formularios/
CAT-3689,MICIVI,Rectificación de datos,sin pagina oficial (solo enlace bit.ly/generico),https://dgt.gob.gt/formularios/
CAT-3761,MICIVI,Solicitud de Numeración 1-800 cobro Revertido Internacional Saliente,sin pagina oficial (solo enlace bit.ly/generico),https://sit.gob.gt/gerencia-de-telefonia/recursos-de-telefonia/numeracion/1-800-xxx-xxxx/
CAT-3762,MICIVI,Solicitud de Numeración 1-801,sin pagina oficial (solo enlace bit.ly/generico),https://sit.gob.gt/gerencia-de-telefonia/recursos-de-telefonia/numeracion/1-800-xxx-xxxx/
CAT-3610,MICIVI,Solicitud de aprobación/autorización/ permiso especial (vuelo ferry),tiene requisitos pero no pasos,https://www.dgac.gob.gt/wp-content/uploads/2023/08/FORMA-DGAC-GVSO-800-SOLICITUD-DE-APROBACION-AUTORIZACION-PERMISO-DE-VUELO-ESPECIAL.pdf
CAT-3617,MICIVI,Solicitud de emisión de solvencia financiera.,tiene requisitos pero no pasos,https://www.dgac.gob.gt/wp-content/uploads/2023/08/4-FORMULARIO-SOLICITUD-SOLVENCIA.pdf
CAT-3616,MICIVI,Solicitud para emisión de contraseña de pago de otros rubros.,tiene requisitos pero no pasos,https://www.dgac.gob.gt/wp-content/uploads/2023/08/3-FORMULARIO-OTROS-RUBROS-TESORERIA.pdf
CAT-3695,MICIVI,Unificación de horarios de licencias de transporte extraurbano de pasajeros por carretera y/o cambio de categoría,sin pagina oficial (solo enlace bit.ly/generico),https://dgt.gob.gt/formularios/
CAT-3776,MINDEF,Carné de reclutador de gente de mar,sin pagina oficial (solo enlace bit.ly/generico),https://dgam.mindef.mil.gt/AUTORIDAD/TROK/xtr39.html
CAT-3775,MINDEF,Certificado de reclutador de gente de mar,sin pagina oficial (solo enlace bit.ly/generico),https://dgam.mindef.mil.gt/AUTORIDAD/TROK/xtr38.html
CAT-3774,MINDEF,INFORME MENSUAL DE EMPRESAS DE SEGURIDAD PRIVADA,sin pagina oficial (solo enlace bit.ly/generico),https://www.digecam.mil.gt/web/tramites.php
CAT-3773,MINDEF,LICENCIA DE TRASLADO ESPORÁDICO,sin pagina oficial (solo enlace bit.ly/generico),https://www.digecam.mil.gt/web/tramites.php
CAT-3769,MINDEF,LICENCIA PARA FABRICACIÓN DE ARMAS DE FUEGO Y/O MUNICIONES,sin pagina oficial (solo enlace bit.ly/generico),https://www.digecam.mil.gt/web/tramites.php
CAT-3771,MINDEF,PRESENTACIÓN DE REPORTES DE VENTAS DE ARMAS Y MUNICIONES,sin pagina oficial (solo enlace bit.ly/generico),https://www.digecam.mil.gt/web/tramites.php
CAT-3772,MINDEF,PRIMERA LICENCIA ESPECIAL DE PORTACIÓN DE ARMAS DE FUEGO PARA PERSONAL QUE TRABAJA EN ENTIDAD ESTATAL,sin pagina oficial (solo enlace bit.ly/generico),https://www.digecam.mil.gt/web/tramites.php
CAT-3770,MINDEF,RECLASIFICACIÓN DE ARMA DE FUEGO,sin pagina oficial (solo enlace bit.ly/generico),https://www.digecam.mil.gt/web/tramites.php
CAT-3768,MINDEF,REPOSICIÓN DE CREDENCIAL DE PORTACIÓN DE ARMAS DE FUEGO PARA AGENTES DE SEGURIDAD PRIVADA,sin pagina oficial (solo enlace bit.ly/generico),https://www.digecam.mil.gt/web/tramites.php
CAT-3767,MINDEF,"REPOSICIÓN DE LICENCIA PARA FABRICACIÓN Y/O VENTA DE CHALECOS ANTIBALAS, IMPLEMENTOS O VESTUARIOS DE ESTA NATURALEZA",sin pagina oficial (solo enlace bit.ly/generico),https://www.digecam.mil.gt/web/tramites.php
CAT-1381,MINEDUC,Solicitud de Proyecto de Infraestructura Deportiva Escolar,tiene requisitos pero no pasos,https://www.mineduc.gob.gt/tramites/
CAT-3836,MINGOB,ACTIVACION E INACTIVACION DE LICENCIAS DE CONDUCIR,sin pagina oficial (solo enlace bit.ly/generico),https://bit.ly/3vrI5Zg
CAT-3835,MINGOB,ANOTACION DE PLACAS EXTRAVIADA,sin pagina oficial (solo enlace bit.ly/generico),https://bit.ly/3vrI5Zg
CAT-3837,MINGOB,ANOTACION DE VEHICULOS PENDIENTES DE LOCALIZACION,sin pagina oficial (solo enlace bit.ly/generico),https://bit.ly/3vrI5Zg
CAT-3834,MINGOB,"ANOTACION Y LEVANTAMIENTOS EN SISTEMA POR EMBARGOS, SECUESTRO, HURTO, ROBO",sin pagina oficial (solo enlace bit.ly/generico),https://bit.ly/3vrI5Zg
CAT-3840,MINGOB,AUTORIZACIÓN DE ESCUELAS DE APRENDIZAJE DE TRANSITO,sin pagina oficial (solo enlace bit.ly/generico),https://bit.ly/3vrI5Zg
CAT-3806,MINGOB,Activación de licencia de conducir,sin pagina oficial (solo enlace bit.ly/generico),https://bit.ly/3vrI5Zg
CAT-3796,MINGOB,Alteración de documentos,sin pagina oficial (solo enlace bit.ly/generico),https://bit.ly/3vrI5Zg
CAT-3753,MINGOB,Autorización de Acreditación de Escolta Privado a título personal a través de modalidad virtual,sin pagina oficial (solo enlace bit.ly/generico),https://digessp.gob.gt/formulario-tramites/
CAT-3784,MINGOB,Autorización de Cecoves,sin pagina oficial (solo enlace bit.ly/generico),https://bit.ly/3vrI5Zg
CAT-3752,MINGOB,Autorización de acreditación de agentes de seguridad privada en relación de dependencia a través de modalidad virtual,sin pagina oficial (solo enlace bit.ly/generico),https://digessp.gob.gt/formulario-tramites/
CAT-3750,MINGOB,Autorización de acreditación de directores e instructores de centros de capacitación a través de modalidad virtual,sin pagina oficial (solo enlace bit.ly/generico),https://digessp.gob.gt/formulario-tramites/
CAT-3754,MINGOB,Autorización de licencia de operación para persona individual.,sin pagina oficial (solo enlace bit.ly/generico),https://digessp.gob.gt/formulario-tramites/
CAT-3760,MINGOB,"Autorización de licencia de operación para personas jurídicas nuevas, en adecuación y licencia de operación adicional.",sin pagina oficial (solo enlace bit.ly/generico),https://digessp.gob.gt/formulario-tramites/
CAT-3830,MINGOB,BLOQUEO DE LICENCIAS DE CONDUCIR DE JUZGADOS MUNICIPALES DE TRÁNSITO,sin pagina oficial (solo enlace bit.ly/generico),https://bit.ly/3vrI5Zg
CAT-3820,MINGOB,CARNE DIPLOMATICOS,sin pagina oficial (solo enlace bit.ly/generico),https://bit.ly/3vrI5Zg
CAT-3825,MINGOB,CERTIFICACIONES DE REGISTRO DE LICENCIAS DE CONDUCIR POR INVESTIGACIONES DE LA SUPERINTENDENCIA DE ADMINISTRACION TRIBUTARIA DEL DEPARTAMENTO GUATEMALA.,sin pagina oficial (solo enlace bit.ly/generico),https://bit.ly/3vrI5Zg
CAT-3826,MINGOB,CERTIFICACIONES DE REGISTRO DE LICENCIAS DE CONDUCIR POR INVESTIGACIONES DE LA SUPERINTENDENCIA DE ADMINISTRACION TRIBUTARIA DEL DEPARTAMENTO GUATEMALA.,sin pagina oficial (solo enlace bit.ly/generico),https://bit.ly/3vrI5Zg
CAT-3823,MINGOB,CERTIFICACIONES DE REGISTRO DE LICENCIAS DE CONDUCIR POR INVESTIGACIONES DEL MINISTERIO PÚBLICO DEL DEPARTAMENTO DE GUATEMALA.,sin pagina oficial (solo enlace bit.ly/generico),https://bit.ly/3vrI5Zg
CAT-3824,MINGOB,CERTIFICACIONES DE REGISTRO DE LICENCIAS DE CONDUCIR POR INVESTIGACIONES DEL ORGANISMO JUDICIAL DEL DEPARTAMENTO DE GUATEMALA.,sin pagina oficial (solo enlace bit.ly/generico),https://bit.ly/3vrI5Zg
CAT-3839,MINGOB,"CONVENIO INTERINSTITUCIONAL ENTRE LOS MINISTERIOS DE RELACIONES EXTERIORES Y GOBERNACIÓN PARA LA EMISIÓN DEL DOCUMENTO OFICIAL PARA PODER CONDUCIR A CONSULES, EMBAJADORES, INTEGRANTES DE MISIONES DIPLMATICAS",sin pagina oficial (solo enlace bit.ly/generico),https://bit.ly/3vrI5Zg
CAT-3807,MINGOB,Cancelación de licencia de conducir,sin pagina oficial (solo enlace bit.ly/generico),https://bit.ly/3vrI5Zg
CAT-3808,MINGOB,Cancelación de licencia de persona fallecida,sin pagina oficial (solo enlace bit.ly/generico),https://bit.ly/3vrI5Zg
CAT-3819,MINGOB,Certificación de registro de licencias de conducir por investigaciones de Superintencia de Administración Tributaria de todos los departamentos excepto Guatemala.,sin pagina oficial (solo enlace bit.ly/generico),https://bit.ly/3vrI5Zg
CAT-3817,MINGOB,Certificación de registro de licencias de conducir por investigaciones del Ministerio Públco de todos los departamentos excepto Guatemala.,sin pagina oficial (solo enlace bit.ly/generico),https://bit.ly/3vrI5Zg
CAT-3818,MINGOB,Certificación de registro de licencias de conducir por investigaciones del Organismo Judicial de todos los departamentos excepto Guatemala,sin pagina oficial (solo enlace bit.ly/generico),https://bit.ly/3vrI5Zg
CAT-3783,MINGOB,"Control de oftalmólogos, licencias en optometría, técnicos en optometría y técnico refraccionistas",sin pagina oficial (solo enlace bit.ly/generico),https://bit.ly/3vrI5Zg
CAT-3831,MINGOB,DESBLOQUEO DE LICENCIAS DE CONDUCIR DE JUZGADOS MUNICIPALES DE TRÁNSITO,sin pagina oficial (solo enlace bit.ly/generico),https://bit.ly/3vrI5Zg
CAT-3828,MINGOB,DEVOLUCIÓN DE LICENCIAS DE CONDUCIR VEHÍCULOS,sin pagina oficial (solo enlace bit.ly/generico),https://bit.ly/3vrI5Zg
CAT-3802,MINGOB,Desacuerdo de boletas de aviso de requerimientos de pago y citación por oposición,sin pagina oficial (solo enlace bit.ly/generico),https://bit.ly/3vrI5Zg
CAT-3803,MINGOB,Desacuerdo de boletas de avisos y requerimientos de pago por prescripción,sin pagina oficial (solo enlace bit.ly/generico),https://bit.ly/3vrI5Zg
CAT-3779,MINGOB,Devolución de vehículos por falta de tarjeta de circulación,sin pagina oficial (solo enlace bit.ly/generico),https://bit.ly/3vrI5Zg
CAT-3838,MINGOB,ENTREGA Y ARCHIVO DE BOLETAS DE AVISO REQUERIMIENTO DE PAGO Y CITACION,sin pagina oficial (solo enlace bit.ly/generico),https://bit.ly/3vrI5Zg
CAT-3798,MINGOB,Exoneración de multas por no renovar licencia de conducir en el plazo establecido por estar fuera del país,sin pagina oficial (solo enlace bit.ly/generico),https://bit.ly/3vrI5Zg
CAT-3800,MINGOB,Exoneración de multas por no renovar licencia de conducir en el plazo establecido por prisión,sin pagina oficial (solo enlace bit.ly/generico),https://bit.ly/3vrI5Zg
CAT-3799,MINGOB,Exoneración de multas por no renovar licencias de conducir en el plazo establecido por enfermedad,sin pagina oficial (solo enlace bit.ly/generico),https://bit.ly/3vrI5Zg
